question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
33,single,Which of the following is not considered a component of the metabolic syndrome (MetS)?,Central adiposity,Insulin resistance,High serum low-density lipoprotein (LDL) cholesterol,High serum triglycerides,Hypertension,,C,C — High serum low-density lipoprotein (LDL) cholesterol,"Metabolic syndrome includes low HDL, not high LDL, along with central obesity, hyperglycemia, hypertension, and hypertriglyceridemia.","Metabolic syndrome includes low HDL, not high LDL, along with central obesity, hyperglycemia, hypertension, and hypertriglyceridemia.","Correct answer: C — High serum low-density lipoprotein (LDL) cholesterol. Metabolic syndrome includes low HDL, not high LDL, along with central obesity, hyperglycemia, hypertension, and hypertriglyceridemia. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Prevention
34,single,A 41-year-old woman with a history of atrial fibrillation presents to your office. Which of the following is incorrect?,"A normal glycated hemoglobin should be <6.0%, while a glycated hemoglobin of 6.0% to 6.5% is considered prediabetes",A glycated hemoglobin level of 6.5% or higher on two separate occasions indicates diabetes,"Prediabetes can be diagnosed by a fasting plasma glucose of 100 mg/dL or more (impaired fasting glucose), a postglucose load of 140 to 199 mg/dL (impaired glucose tolerance), or both",Diabetes can be diagnosed by a fasting plasma glucose >126 mg/dL or a 2-hour postprandial glucose of >200 mg/dL during an oral glucose tolerance test involving a glucose solution containing the equivalent of 75 grams of glucose dissolved in water,Diabetes can be diagnosed in the patient who has a random plasma glucose of >200 mg/dL with classic symptoms of hyperglycemia,,A,"A — A normal glycated hemoglobin should be <6.0%, while a glycated hemoglobin of 6.0% to 6.5% is considered prediabetes",Normal HbA1c is <5.7%; HbA1c 5.7–6.4% is prediabetes.,Normal HbA1c is <5.7%; HbA1c 5.7–6.4% is prediabetes.,"Correct answer: A — A normal glycated hemoglobin should be <6.0%, while a glycated hemoglobin of 6.0% to 6.5% is considered prediabetes. Normal HbA1c is <5.7%; HbA1c 5.7–6.4% is prediabetes. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Diabetes
35,single,Lipoproteins contain which of the following?,Neutral lipid,Nonesterified cholesterol,Phospholipid,Proteins,All of the above,,E,E — All of the above,"Lipoproteins have a neutral lipid core plus surface phospholipids, free cholesterol, and apolipoproteins.","Lipoproteins have a neutral lipid core plus surface phospholipids, free cholesterol, and apolipoproteins.","Correct answer: E — All of the above. Lipoproteins have a neutral lipid core plus surface phospholipids, free cholesterol, and apolipoproteins. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Lipids
36,single,Which of the following steps in the progression of atherosclerosis is incorrect?,Accumulation of large numbers of foam cells gives rise to fatty streaks,"Some foam cells die and release their cholesterol esters into the interstitium, and over time the core of extracellular lipid expands",Osteoclasts from the medium begin to produce fibrous connective tissue,This tissue forms a covering of the fatty streak; here the lesion is called a fibrous plaque (fibroatheroma),Continuous filtration of LDL into the arterial wall leads to several steps to plaque progression,,C,C — Osteoclasts from the medium begin to produce fibrous connective tissue,"Smooth muscle cells, not osteoclasts, produce the fibrous tissue cap in atherosclerotic plaques.","Smooth muscle cells, not osteoclasts, produce the fibrous tissue cap in atherosclerotic plaques.","Correct answer: C — Osteoclasts from the medium begin to produce fibrous connective tissue. Smooth muscle cells, not osteoclasts, produce the fibrous tissue cap in atherosclerotic plaques. In atherosclerosis questions, choose the lesion or mechanism that fits the specific disease stage asked in the stem. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Atherosclerosis
37,single,Which of the following is not true about familial hypercholesterolemia (FH)?,Heterozygous FH occurs in about one in 500 persons; homozygous FH occurs in only one in a million persons,"Patients with heterozygous FH commonly develop premature ASCVD, most often between the ages of 30 and 60 years; homozygous FH leads to very premature disease","A clinical feature of FH is the presence of cholesterol deposition in tendons (xanthomas) of the hands, elbows, knees, and feet, especially the Achilles tendon",Deposition of cholesterol in the skin about the eyes is called xanthelasma,"In individuals with hypercholesterolemia, the presence of xanthelasmas is pathognomonic of FH",,E,"E — In individuals with hypercholesterolemia, the presence of xanthelasmas is pathognomonic of FH",Xanthelasma suggests dyslipidemia but is not pathognomonic of FH.,Xanthelasma suggests dyslipidemia but is not pathognomonic of FH.,"Correct answer: E — In individuals with hypercholesterolemia, the presence of xanthelasmas is pathognomonic of FH. Xanthelasma suggests dyslipidemia but is not pathognomonic of FH. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Lipids
38,single,"A 65-year-old woman presents with two days of chest pain and progressive dyspnea. She has anterolateral ST elevations, and her troponin is 5 times the upper limit for normal. She undergoes coronary angiography and ventriculography, which is shown in the figure. Which of the following statements is true about the underlying diagnosis?","The incidence is rare, approximately 1 in 1000 patients presenting with ACS",Emotional stress in the presence of symmetric T-wave inversion in most leads is diagnostic for the condition,"At angiography, most patients with this condition will not have obstructive CAD",Inotropes in this patient are likely to improve hemodynamics,The condition is more common in women,,E,E — The condition is more common in women,"The figure suggests Takotsubo cardiomyopathy, which predominantly affects women.","The figure suggests Takotsubo cardiomyopathy, which predominantly affects women.","Correct answer: E — The condition is more common in women. The figure suggests Takotsubo cardiomyopathy, which predominantly affects women. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Cardiomyopathy
39,single,A 52-year-old female smoker presents to your clinic and expresses her desire to quit smoking. Which of the following treatment options should not be recommended to your patient as a first-line therapy for smoking cessation?,Nicotine patch,Electronic cigarette,Varenicline,Bupropion,Nicotine inhaler,,B,B — Electronic cigarette,E-cigarettes are not recommended as first-line smoking cessation therapy in this source.,E-cigarettes are not recommended as first-line smoking cessation therapy in this source.,"Correct answer: B — Electronic cigarette. E-cigarettes are not recommended as first-line smoking cessation therapy in this source. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Prevention
40,single,"A 42-year-old woman has a history of bioprosthetic mitral valve replacement 12 years ago for myxomatous mitral valve disease. She comes to the emergency department complaining of a 2-day history of dyspnea, orthopnea, and paroxysmal nocturnal dyspnea. Urgent transthoracic echocardiography reveals diffuse thickening and reduced mobility of the bioprosthesis. Which of the following is the most likely diagnosis and the most common bioprosthetic valve-related complication leading to reoperation?",Paravalvular leak,Structural valve degeneration,Endocarditis,Pannus formation,Thrombus formation,,B,B — Structural valve degeneration,Structural degeneration is the commonest bioprosthetic valve complication leading to reoperation.,Structural degeneration is the commonest bioprosthetic valve complication leading to reoperation.,"Correct answer: B — Structural valve degeneration. Structural degeneration is the commonest bioprosthetic valve complication leading to reoperation. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Valvular
41,single,Which of the following is associated with the Doppler transmitral inflow pattern shown in the figure?,Gastrointestinal hemorrhage,Constrictive pericarditis,Normal aging,Restrictive cardiomyopathy,Hyperthyroidism,,C,C — Normal aging,An impaired relaxation transmitral pattern with reduced E/A ratio is commonly seen with normal aging.,An impaired relaxation transmitral pattern with reduced E/A ratio is commonly seen with normal aging.,"Correct answer: C — Normal aging. An impaired relaxation transmitral pattern with reduced E/A ratio is commonly seen with normal aging. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Diastology
42,single,Which of the following is NOT associated with the ECG abnormality displayed in the figure?,An absence of underlying structural heart disease in most adults,Beneficial response to treatment with verapamil,An association with Ebstein anomaly,A higher prevalence in men,A right posteroseptal pathway,,B,B — Beneficial response to treatment with verapamil,The figure suggests AF with preexcitation in WPW; AV nodal blockers such as verapamil are contraindicated.,The figure suggests AF with preexcitation in WPW; AV nodal blockers such as verapamil are contraindicated.,"Correct answer: B — Beneficial response to treatment with verapamil. The figure suggests AF with preexcitation in WPW; AV nodal blockers such as verapamil are contraindicated. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
43,single,Which of the following statements regarding the second heart sound (S2) is TRUE?,Earlier closure of the pulmonic valve with inspiration results in physiologic splitting of S2,Right bundle branch block results in widened splitting of S2,Paradoxical splitting of S2 is the auscultatory hallmark of an ostium secundum atrial septal defect,Fixed splitting of S2 is expected in patients with a right ventricular electronically paced rhythm,Severe pulmonic valvular stenosis is associated with a loud P2,,B,B — Right bundle branch block results in widened splitting of S2,RBBB delays pulmonic valve closure and widens S2 splitting.,RBBB delays pulmonic valve closure and widens S2 splitting.,"Correct answer: B — Right bundle branch block results in widened splitting of S2. RBBB delays pulmonic valve closure and widens S2 splitting. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart Sounds
44,single,"A 46-year-old man with dyspnea on exertion is noted to have a systolic ejection murmur along the left sternal border. A pulsed-wave Doppler interrogation of the left ventricular outflow tract, recorded from the apex, is shown. Which of the following recommendations would be most appropriate?",Strict fluid restriction,Avoid volume depletion,Aortic valve replacement,Bed rest,,,B,B — Avoid volume depletion,"Dynamic LVOT obstruction in HCM worsens with reduced preload, so volume depletion should be avoided.","Dynamic LVOT obstruction in HCM worsens with reduced preload, so volume depletion should be avoided.","Correct answer: B — Avoid volume depletion. Dynamic LVOT obstruction in HCM worsens with reduced preload, so volume depletion should be avoided. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiomyopathy
45,single,A 62-year-old previously healthy man is brought to the emergency department because of severe headache and dizziness. He has no chest pain or dyspnea. He takes no medications. His blood pressure is 186/98 mm Hg; his heart rate is 56 beats/minute and regular. The presenting ECG is shown in the figure. Which of the following actions is appropriate?,Initiate antiplatelet therapy with aspirin and clopidogrel,Initiate antithrombotic therapy with heparin,Initiate anti-ischemic therapy with intravenous nitroglycerin and a beta blocker,Proceed directly to cath if ST/T abnormalities fail to quickly normalize with anti-ischemic therapy,Obtain a head computed tomography scan,,E,E — Obtain a head computed tomography scan,"Severe hypertension, headache, bradycardia, and deep T-wave inversion should prompt evaluation for intracranial pathology.","Severe hypertension, headache, bradycardia, and deep T-wave inversion should prompt evaluation for intracranial pathology.","Correct answer: E — Obtain a head computed tomography scan. Severe hypertension, headache, bradycardia, and deep T-wave inversion should prompt evaluation for intracranial pathology. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Neurology
46,single,A 9-month-old infant is found to have a well-circumscribed mass in the left ventricle. There is a family history of tuberous sclerosis. Which of the following cardiac tumors is most likely?,Lipoma,Papillary fibroelastoma,Angiosarcoma,Atrial myxoma,Rhabdomyoma,,E,E — Rhabdomyoma,Cardiac rhabdomyoma is the classic infant tumor associated with tuberous sclerosis.,Cardiac rhabdomyoma is the classic infant tumor associated with tuberous sclerosis.,"Correct answer: E — Rhabdomyoma. Cardiac rhabdomyoma is the classic infant tumor associated with tuberous sclerosis. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Congenital
47,matching,"For each description below, match the corresponding lesion in order: 1) Small (1- to 4-mm diameter), irregular, erythematous, nontender macules present on the thenar and hypothenar eminences of the hands. 2) Small, raised red (or purple) tender lesions present in the pulp spaces of the terminal phalanges of the fingers. 3) Collections of lymphocytes in the nerve layer of the retina. 4) Linear or flame-shaped streaks. Options: A) Osler nodes  B) Janeway lesions  C) Roth spots  D) Subungual hemorrhages  E) Bracht-Wächter bodies. Enter the four letters in order separated by commas (example: B,A,C,D).",Osler nodes,Janeway lesions,Roth spots,Subungual hemorrhages,Bracht-Wächter bodies,,"B,A,C,D",B — Janeway lesions | A — Osler nodes | C — Roth spots | D — Subungual hemorrhages,"Janeway lesions are painless, Osler nodes are tender, Roth spots are retinal lesions, and subungual hemorrhages are linear streaks.","Janeway lesions are painless, Osler nodes are tender, Roth spots are retinal lesions, and subungual hemorrhages are linear streaks.","Correct answer: B — Janeway lesions | A — Osler nodes | C — Roth spots | D — Subungual hemorrhages. Janeway lesions are painless, Osler nodes are tender, Roth spots are retinal lesions, and subungual hemorrhages are linear streaks. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Endocarditis
48,single,"A 25-year-old woman presents for routine follow up. She has a 2/6 ejection systolic murmur best heard in the second left intercostal space with normal S1. The S2 is split during inspiration only, and P2 intensity is normal. No apical or parasternal heave. The murmur diminishes during expiration and standing up. What is the likely cause of the murmur?",Physiological or normal,Atrial septal defect (ASD),Bicuspid aortic valve,Hypertrophic obstructive cardiomyopathy (HOCM),,,A,A — Physiological or normal,This is a physiologic flow murmur with normal inspiratory splitting of S2.,This is a physiologic flow murmur with normal inspiratory splitting of S2.,"Correct answer: A — Physiological or normal. This is a physiologic flow murmur with normal inspiratory splitting of S2. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Physical Exam
49,single,A 29-year-old pregnant woman was found to have a systolic murmur best heard in the second left intercostal space. It is rough and there was a palpable thrill in the same area and in the suprasternal notch. The patient is asymptomatic and has normal exercise tolerance. What is the likely explanation for the murmur?,Pulmonary stenosis (PS),Normal flow murmur due to increased cardiac output,Posterior mitral leaflet prolapse causing an anteriorly directed jet,Mammary soufflé,,,A,A — Pulmonary stenosis (PS),"A thrill and suprasternal notch transmission indicate a pathologic murmur, most consistent with pulmonary stenosis.","A thrill and suprasternal notch transmission indicate a pathologic murmur, most consistent with pulmonary stenosis.","Correct answer: A — Pulmonary stenosis (PS). A thrill and suprasternal notch transmission indicate a pathologic murmur, most consistent with pulmonary stenosis. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy
50,single,A 22-year-old patient has a hypoplastic radial side of the forearm and fingerized thumb. What might this be associated with?,ASD,Tetralogy of Fallot,Coarctation of aorta,Ebstein's anomaly,,,A,A — ASD,"Radial ray abnormalities suggest Holt-Oram syndrome, most commonly associated with ASD.","Radial ray abnormalities suggest Holt-Oram syndrome, most commonly associated with ASD.","Correct answer: A — ASD. Radial ray abnormalities suggest Holt-Oram syndrome, most commonly associated with ASD. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Congenital
51,single,"A 28-year-old man presented with a history of shortness of breath on exertion. On examination, the pulse rate was 76 bpm and blood pressure 126/80 mmHg. The left ventricular apex was prominent and forceful. S1 and S2 were normal, but there was a 2/6 ejection systolic murmur best heard in the third right intercostal space. There was no appreciable variation with respiration, but there was an increase in intensity with Valsalva maneuver and on standing up. It seemed to be less prominent on squatting. There was no audible click. This patient is likely to have?",Valvular aortic stenosis,Hypertrophic obstructive cardiomyopathy (HOCM),Mitral valve prolapse (MVP),Innocent murmur,,,B,B — Hypertrophic obstructive cardiomyopathy (HOCM),"The murmur increases with reduced preload and decreases with squatting, which is typical of HOCM.","The murmur increases with reduced preload and decreases with squatting, which is typical of HOCM.","Correct answer: B — Hypertrophic obstructive cardiomyopathy (HOCM). The murmur increases with reduced preload and decreases with squatting, which is typical of HOCM. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiomyopathy
52,single,"A 22-year-old newly immigrant woman was referred to the high-risk pregnancy clinic because of clubbing and cyanosis. Examination in addition revealed a parasternal heave, 4/6 ejection systolic murmur in the third left intercostal space, normal jugular venous pressure, and oxygen saturation of 75%. What will you recommend after confirmation of the diagnosis?",Continue pregnancy with sodium restriction,"Continue pregnancy, but deliver at 28 weeks",Advise termination of pregnancy,Perform percutaneous ASD closure and continue pregnancy,,,C,C — Advise termination of pregnancy,The findings suggest tetralogy of Fallot with severe maternal risk; termination is advised in this source.,The findings suggest tetralogy of Fallot with severe maternal risk; termination is advised in this source.,"Correct answer: C — Advise termination of pregnancy. The findings suggest tetralogy of Fallot with severe maternal risk; termination is advised in this source. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy
53,single,Which is an indication to stop an exercise treadmill test?,Drop of >10 mmHg from baseline BP despite an increase in workload with associated features of ischemia,Sustained ventricular tachycardia,Moderate to severe angina,Signs of cyanosis or pallor,All of the above,,E,E — All of the above,Any of the listed findings is a standard reason to stop the test.,Any of the listed findings is a standard reason to stop the test.,"Correct answer: E — All of the above. Any of the listed findings is a standard reason to stop the test. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Stress Testing
54,single,Which of the following is a class III indication for exercise stress testing without imaging (echo or nuclear perfusion)?,Patients with a high pretest probability of having CAD,Preexcitation on baseline ECG,Left ventricular hypertrophy with <1 mm ST depression on baseline ECG,Patient with vasospastic angina,,,B,B — Preexcitation on baseline ECG,Baseline preexcitation makes exercise ECG without imaging inappropriate (class III).,Baseline preexcitation makes exercise ECG without imaging inappropriate (class III).,"Correct answer: B — Preexcitation on baseline ECG. Baseline preexcitation makes exercise ECG without imaging inappropriate (class III). Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Stress Testing
55,single,"A 45-year-old male is being evaluated by his primary care physician as part of his executive health checkup. He reports no risk factors and is asymptomatic. His baseline ECG shows no resting abnormalities. He is able to walk for 14 minutes (13.5 METS on a Bruce protocol). He reaches an exercise heart rate of 185 bpm, has no angina, and has no ST segment changes on his ECG. What would his Duke treadmill score be?",9,14,2,3.4,,,B,B — 14,Duke treadmill score = exercise time − 5×ST deviation − 4×angina index = 14.,Duke treadmill score = exercise time − 5×ST deviation − 4×angina index = 14.,"Correct answer: B — 14. Duke treadmill score = exercise time − 5×ST deviation − 4×angina index = 14. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Stress Testing
56,single,Which of these is a class I recommendation in assessing asymptomatic adults with no known CAD?,Genomic testing,Obtain global risk score (Framingham),Assessment of lipoprotein and apolipoprotein,Measurements of natriuretic peptides,,,B,B — Obtain global risk score (Framingham),A global risk score is class I for primary prevention risk assessment in asymptomatic adults.,A global risk score is class I for primary prevention risk assessment in asymptomatic adults.,"Correct answer: B — Obtain global risk score (Framingham). A global risk score is class I for primary prevention risk assessment in asymptomatic adults. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Prevention
57,single,"Which of the images A, B, or C in the figure depicts the correct anatomic placement of the Kelly forceps to identify the site of sheath entry for transfemoral access?",Image A,Image B,Image C,,,,C,C — Image C,"The ideal fluoroscopic landmark is the inferomedial femoral head, corresponding to image C.","The ideal fluoroscopic landmark is the inferomedial femoral head, corresponding to image C.","Correct answer: C — Image C. The ideal fluoroscopic landmark is the inferomedial femoral head, corresponding to image C. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Intervention
58,single,What are the most common lesions associated with Noonan syndrome?,Pulmonary stenosis (PS) and atrial septal defect (ASD),Ventricular septal defect (VSD),Patent ductus arteriosus (PDA),Coarctation of aorta and aortic stenosis (AS),,,A,A — Pulmonary stenosis (PS) and atrial septal defect (ASD),Noonan syndrome most commonly features pulmonary stenosis and secundum ASD.,Noonan syndrome most commonly features pulmonary stenosis and secundum ASD.,"Correct answer: A — Pulmonary stenosis (PS) and atrial septal defect (ASD). Noonan syndrome most commonly features pulmonary stenosis and secundum ASD. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Congenital
59,single,What is the most common lesion associated with Williams syndrome?,VSD,Supravalvular AS,Valvular AS,ASD,,,B,B — Supravalvular AS,Williams syndrome is classically associated with supravalvular aortic stenosis.,Williams syndrome is classically associated with supravalvular aortic stenosis.,"Correct answer: B — Supravalvular AS. Williams syndrome is classically associated with supravalvular aortic stenosis. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Congenital
60,single,What are the most common anomalies seen in DiGeorge syndrome (22q11.2 deletion)?,VSD and arch anomalies,Pulmonary valve stenosis,ASD,Supravalvular AS,,,A,A — VSD and arch anomalies,Conotruncal defects and arch anomalies are the hallmark cardiac lesions of DiGeorge syndrome.,Conotruncal defects and arch anomalies are the hallmark cardiac lesions of DiGeorge syndrome.,"Correct answer: A — VSD and arch anomalies. Conotruncal defects and arch anomalies are the hallmark cardiac lesions of DiGeorge syndrome. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Congenital
61,single,What is the most common congenital heart lesion seen in Holt-Oram syndrome?,Arch anomalies,Coarctation of aorta,ASD,AS,,,C,C — ASD,Holt-Oram syndrome most commonly presents with a secundum ASD.,Holt-Oram syndrome most commonly presents with a secundum ASD.,"Correct answer: C — ASD. Holt-Oram syndrome most commonly presents with a secundum ASD. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Congenital
62,single,What is the most common cardiac anomaly seen in Turner syndrome?,Coarctation of aorta,Tetralogy of Fallot (TOF),VSD,Partial anomalous pulmonary venous drainage,,,A,A — Coarctation of aorta,Coarctation is the hallmark lesion in Turner syndrome.,Coarctation is the hallmark lesion in Turner syndrome.,"Correct answer: A — Coarctation of aorta. Coarctation is the hallmark lesion in Turner syndrome. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Congenital
63,single,An ECG is done on a 35-year-old male who is scheduled to undergo knee surgery. The patient has no symptoms of palpitations. What is the next step in the management?,No further work-up is indicated,Exercise treadmill test,Echocardiogram,EP studies and ablation,,,B,B — Exercise treadmill test,Asymptomatic preexcitation is risk-stratified by exercise testing; loss of preexcitation suggests low risk.,Asymptomatic preexcitation is risk-stratified by exercise testing; loss of preexcitation suggests low risk.,"Correct answer: B — Exercise treadmill test. Asymptomatic preexcitation is risk-stratified by exercise testing; loss of preexcitation suggests low risk. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Arrhythmia
64,single,"Based on the above patient presentation, what subtype of long QT syndrome is expected?",Long QT Syndrome 1,Long QT Syndrome 2,Long QT Syndrome 3,Jervell and Lange-Nielsen Syndrome,Timothy Syndrome,,B,B — Long QT Syndrome 2,Auditory triggers and the clinical pattern point to LQT2.,Auditory triggers and the clinical pattern point to LQT2.,"Correct answer: B — Long QT Syndrome 2. Auditory triggers and the clinical pattern point to LQT2. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Inherited Arrhythmia
65,single,"A 54-year-old man is referred to you due to an enlarged cardiac silhouette discovered on routine chest X-ray as part of his employment physical exam. He reports no known past medical history. Although he denies symptoms of overt heart failure, he states that he tends to become short of breath with strenuous activity—a symptom that he felt was due to lack of exercise. On physical examination he has a displaced apical impulse and a third heart sound. An ECG shows sinus rhythm with a LBBB. An echocardiogram discloses global LV dysfunction with an EF of 25% and mild functional mitral valve regurgitation. Coronary angiography is normal. A 24-hour Holter monitor shows 35,000 PVCs and 85 runs of nonsustained VT, 3 to 9 beats in duration. What is the next appropriate test?",EP study,RV biopsy,Serum ferritin,Signal average ECG,No further testing is required; schedule the patient to receive an ICD,,C,C — Serum ferritin,"In nonischemic DCM, hemochromatosis should be screened for because it is potentially reversible.","In nonischemic DCM, hemochromatosis should be screened for because it is potentially reversible.","Correct answer: C — Serum ferritin. In nonischemic DCM, hemochromatosis should be screened for because it is potentially reversible. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Cardiomyopathy
66,single,"A 16-year-old female was admitted to the coronary care unit after a sudden cardiac arrest. She collapsed suddenly after being awakened by a phone call, and paramedics arrived within five minutes to find her in VF, which was successfully defibrillated with one shock. She remained comatose, was intubated, and transported to the hospital. She responded to painful stimuli, and her pupils were dilated but reactive to light. Her past medical history includes three fainting episodes, with no use of prescription medications or known substance abuse. Family history reveals that her sister died suddenly at age 20. What is the most likely diagnosis at this time?",HCM,Brugada syndrome,Idiopathic VF,RVOT tachycardia,Long QT syndrome,,E,E — Long QT syndrome,"Syncope, family history, and the ECG pattern fit congenital long QT syndrome.","Syncope, family history, and the ECG pattern fit congenital long QT syndrome.","Correct answer: E — Long QT syndrome. Syncope, family history, and the ECG pattern fit congenital long QT syndrome. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Inherited Arrhythmia
67,single,The sinus node is predominantly characterized by depolarization in which phase of the action potential?,Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,,E,E — Phase 4,Pacemaker automaticity in the sinus node is driven by phase 4 depolarization.,Pacemaker automaticity in the sinus node is driven by phase 4 depolarization.,"Correct answer: E — Phase 4. Pacemaker automaticity in the sinus node is driven by phase 4 depolarization. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",EP
68,single,Which of the following contain the normal A–H and H–V intervals?,"40–80 msec, 35–60 msec","60–120 msec, 35–60 msec","60–120 msec, 25–50 msec","60–100 msec, 60–80 msec",,,B,"B — 60–120 msec, 35–60 msec",Normal A–H is roughly 60–120 ms and H–V about 35–60 ms.,Normal A–H is roughly 60–120 ms and H–V about 35–60 ms.,"Correct answer: B — 60–120 msec, 35–60 msec. Normal A–H is roughly 60–120 ms and H–V about 35–60 ms. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",EP
69,single,What is the diagnosis from the ECG and pressure tracing below?,Constrictive pericarditis,Restrictive cardiomyopathy,Ischemic cardiomyopathy,Pericardial tamponade,,,D,D — Pericardial tamponade,Marked respiratory variation with electrical alternans points to tamponade.,Marked respiratory variation with electrical alternans points to tamponade.,"Correct answer: D — Pericardial tamponade. Marked respiratory variation with electrical alternans points to tamponade. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
70,single,A 42-year-old man walks into the ED complaining of dizziness and the sensation of a racing heart. He takes no medications and has a systolic BP of 100 mmHg. An ECG is obtained and shown below. Which of the following medications would be an appropriate initial therapy?,Lidocaine,Adenosine,Metoprolol,Procainamide,Diltiazem,,D,D — Procainamide,"Preexcited AF in WPW is treated with procainamide, not AV nodal blockers.","Preexcited AF in WPW is treated with procainamide, not AV nodal blockers.","Correct answer: D — Procainamide. Preexcited AF in WPW is treated with procainamide, not AV nodal blockers. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
71,single,"A 45-year-old woman presents with DOE and paroxysmal AF. She has a fixed split S2 on exam with a 2/6 SEM at the LSB. Echocardiogram shows dilated RV and RA, normal LV, secundum ASD, PASP 70 mmHg. At catheterization: IVC 70%, SVC 67%, RA 82%, RV 87%, PA 88%, LV 98%, aorta 98%, FA 98%; PA 70/50, FA 120/70, PCWP 10; TCO 6.0 L/min. What is the Qp/Qs?",1.5:1.0,2.0:1.0,2.5:1.0,3.0:1.0,Need more information,,D,D — 3.0:1.0,Using the saturation step-up data gives a Qp/Qs of about 3:1.,Using the saturation step-up data gives a Qp/Qs of about 3:1.,"Correct answer: D — 3.0:1.0. Using the saturation step-up data gives a Qp/Qs of about 3:1. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Hemodynamics
72,single,A patient has a dip-and-plateau pattern in the RV and LV pressure curves with elevation and end-diastolic equalization of the pressures in the LV and RV. Which of the following may be present?,Constrictive pericarditis,Amyloid heart disease,RV infarction,Severe TR,All of the above,,A,A — Constrictive pericarditis,The classic square-root sign with pressure equalization is most characteristic of constrictive pericarditis in this source.,The classic square-root sign with pressure equalization is most characteristic of constrictive pericarditis in this source.,"Correct answer: A — Constrictive pericarditis. The classic square-root sign with pressure equalization is most characteristic of constrictive pericarditis in this source. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
